C1	39.27	25.25	180.00	0.1u	C1206
C3	39.96	47.11	180.00	0.1u	C1206
C4	63.50	39.37	180.00	0.1u	C1206
C5	10.49	49.79	0.00	0.1u	C1206
R1	33.25	25.40	180.00		M1206
R2	33.25	28.54	180.00		M1206
R3	57.92	14.02	0.00		M1206
R4	57.90	17.10	0.00		M1206
R5	53.38	26.19	270.00		M1206
R6	50.31	26.19	270.00		M1206
R7	39.27	31.00	180.00	200k	M1206
R8	33.25	34.50	0.00	2k	M1206
U1	45.69	29.76	0.00	PCA9306SO8	SO8
